iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
JOR,130,Jordan,State,air_pollution_pm25_1998-2023,4258511.621413205,4258511.621413204,11523987.80478274,89203.35931995866
JPN,126,Japan,State,air_pollution_pm25_1998-2023,14984495.412561568,17148792.9227287,120686220.54092196,373522.7108011886
KAZ,132,Kazakhstan,State,air_pollution_pm25_1998-2023,6955689.62851522,7013864.848751668,20544135.46735033,2830727.4695786387
KEN,133,Kenya,State,air_pollution_pm25_1998-2023,23694958.91622789,24625532.7467626,55527033.47588344,585618.8753727536
KGZ,138,Kyrgyzstan,State,air_pollution_pm25_1998-2023,2662344.0600857846,2689821.2431255886,7128243.330953766,198043.110136223
KHM,44,Cambodia,State,air_pollution_pm25_1998-2023,5940296.417683666,6211092.529221758,17474540.400970142,182117.6884937588
KOR,202,Republic of Korea,State,air_pollution_pm25_1998-2023,6404196.633754851,6896494.420032748,51290326.88351894,100564.0518857207
KWT,137,Kuwait,State,air_pollution_pm25_1998-2023,522939.6209546092,1065069.932155687,4806398.575371386,17358.79369537642
LAO,139,Lao People's Democratic Republic,State,air_pollution_pm25_1998-2023,2793566.018676616,2799986.696374424,7773182.864683836,231101.366723768
LBN,141,Lebanon,State,air_pollution_pm25_1998-2023,1848417.4200268,1848615.762826691,5710221.290856774,10219.418455967862
LBR,144,Liberia,State,air_pollution_pm25_1998-2023,2589226.748226634,2595882.198157564,5503269.313599072,96405.7280131736
LBY,145,Libya,State,air_pollution_pm25_1998-2023,2264039.524597556,2369493.4903211654,7084741.747273151,1619285.8650286156
LIE,146,Liechtenstein,State,air_pollution_pm25_1998-2023,6873.413461724143,6873.413461724143,39207.99551816096,159.5582580680112
LKA,231,Sri Lanka,State,air_pollution_pm25_1998-2023,5597947.2448803,6180127.650252736,22673393.6513328,66104.25288865225
LSO,142,Lesotho,State,air_pollution_pm25_1998-2023,953829.4465429004,953829.4465429004,2322762.20800154,30611.93536463149
LTU,147,Lithuania,State,air_pollution_pm25_1998-2023,508279.826901632,509385.6883266349,2866930.8639708417,64995.59072916185
LUX,148,Luxembourg,State,air_pollution_pm25_1998-2023,125867.0302164336,125867.0302164336,665461.0224727879,2587.2489406897025
LVA,140,Latvia,State,air_pollution_pm25_1998-2023,349724.45535756566,352447.47395318083,1873820.8873327945,64267.95864585236
MAR,169,Morocco,State,air_pollution_pm25_1998-2023,11539349.841154302,11625029.329199271,37652728.21499646,414329.6692042816
MCO,166,Monaco,State,air_pollution_pm25_1998-2023,0.0,5262.439017200824,24894.40240119485,2.476360919139991
CAN,46,Canada,State,air_pollution_pm25_1998-2023,6880376.380417228,7173800.156299239,38869036.71435409,9923949.85745081
MDA,165,Moldova,State,air_pollution_pm25_1998-2023,714902.883151246,714905.6482122904,3053511.398903851,33761.248544054055
MDG,150,Madagascar,State,air_pollution_pm25_1998-2023,12932278.602238964,14049899.752839388,30747097.794693783,593960.4430762818
MKD,241,North Macedonia,State,air_pollution_pm25_1998-2023,372072.9239721354,372434.5531768669,1828061.7942779767,25396.86957571389
MEX,162,Mexico,State,air_pollution_pm25_1998-2023,38118207.40695566,38372191.92413432,128401422.60932018,1968176.7215457468
MLI,155,Mali,State,air_pollution_pm25_1998-2023,12871433.115001108,12887973.3377854,24125255.44650243,1258835.9296494112
MLT,156,Malta,State,air_pollution_pm25_1998-2023,32473.91252800324,82026.20114665937,521192.899440352,314.8658581987097
MNE,2647,Montenegro,State,air_pollution_pm25_1998-2023,137307.90075040085,138273.13204878976,622926.3984072178,13874.370851691288
MMR,273,Myanmar,State,air_pollution_pm25_1998-2023,15498345.357337955,15614932.645745547,53615227.438729495,670823.6197973066
MNG,167,Mongolia,State,air_pollution_pm25_1998-2023,1281570.4328148086,1283535.6980812473,3451239.838370319,1560759.7645335875
