iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
ATF,88,French Southern Territories,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,7545.445540588663
ATF,131,Juan de Nova Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,5.1529964867062725
xFR,247,Tromelin Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,1.4027345682003225
REU,206,Réunion,Territory,drought_spei_copernicus_1940-2024,0.0,224527.03551220748,852375.2411751292,2511.2870815682068
ATF,80,Europa Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,34.90024266094143
WLF,266,Wallis and Futuna,Territory,drought_spei_copernicus_1940-2024,0.0,2144.5617278896857,10476.772545349875,147.9502592523322
xFR,1013,Glorioso Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,5.175995505547052
GGY,104,Guernsey,Territory,drought_spei_copernicus_1940-2024,0.0,10821.840206980904,60723.66183936328,79.85937416880729
MYT,161,Mayotte,Territory,drought_spei_copernicus_1940-2024,133947.67437918694,147632.99054291303,277288.2751140858,387.65240654218326
IMN,120,Isle of Man,Territory,drought_spei_copernicus_1940-2024,14721.04442619362,14797.878542407976,81492.96328064777,570.842159926398
IOT,38,Chagos Archipelagio,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,54.47240283425501
JEY,128,Jersey,Territory,drought_spei_copernicus_1940-2024,11706.559601161793,17124.35502786672,93021.7992296491,119.48400079235354
xUK,1015,Akrotiri,Territory,drought_spei_copernicus_1940-2024,0.0,1854.3849790472768,11189.13798728377,124.49298500978186
xUK,1016,Dekelia,Territory,drought_spei_copernicus_1940-2024,0.0,1565.543027738413,11354.755529726172,129.8283603123173
PRT,1009,Madeira Islands,Territory,drought_spei_copernicus_1940-2024,0.0,39285.658622135634,242439.5760517241,819.7729334025119
SJM,234,Svalbard and Jan Mayen Islands,Territory,drought_spei_copernicus_1940-2024,0.0,2.010558001638856,7.739739894880897,61632.97450522548
UMI,190,Palmyra Atoll,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,3.1949053403718293
PRT,1008,Azores Islands,Territory,drought_spei_copernicus_1940-2024,0.0,40677.28298882895,219792.012324196,2407.5844082816325
