system:index,pop_child_total,pop_exposed_agricultural_drought_fao_1984-2023,pop_exposed_air_pollution_pm25_1998-2023,pop_exposed_coastal_flood_100yr_jrc_2024,pop_exposed_drought_spei_terraclimate_1958-2025,pop_exposed_drought_spi_terraclimate_1958-2025,pop_exposed_drought_topic,pop_exposed_extreme_heat_ecmwf_2014-2024,pop_exposed_fire_FRP_nasa_2001-2024,pop_exposed_fire_frequency_nasa_2001-2023,pop_exposed_fire_topic,pop_exposed_heatwave_duration_ecmwf_2014-2024,pop_exposed_heatwave_frequency_ecmwf_2014-2024,pop_exposed_heatwave_severity_ecmwf_2014-2024,pop_exposed_heatwave_topic,pop_exposed_river_flood_100yr_jrc_2024,pop_exposed_sand_dust_storm_unccd_2024,pop_exposed_tropical_storm_100yr_giri_2024,pop_exposed_vectorborne_malariapf_2012-2022,pop_exposed_vectorborne_malariapv_2012-2022,pop_mhi_p75,pop_mhi_p80,pop_mhi_p85,pop_mhi_p90,pop_mhi_p95,pop_topic_ge_1,pop_topic_ge_2,pop_topic_ge_3,pop_topic_ge_4,pop_topic_ge_5,pop_topic_ge_6,pop_topic_ge_7,pop_topic_ge_8,pop_total,ucode,.geo
00000000000000000032,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,13.17634507731772,,0.0,2.161084923148155,0.09457355574065564,0.0,0.09457355574065564,0.0,0.0,0.0,0.0,13.081771521577064,13.081771521577064,0.0,13.081771521577064,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,13.17634507731772,2.161084923148155,0.0,0.0,0.0,0.0,0.0,0.0,106.28204558179806,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,150.25113586987936,,0.0,17.841472943682295,0.0,10.24175723609971,10.24175723609971,0.0,0.0,0.0,0.0,116.99738510706845,116.99738510706845,42.05645253518049,116.99738510706845,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,127.56343213980105,17.517183147049415,0.0,0.0,0.0,0.0,0.0,0.0,452.1583801227896,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004dd,122.69103571772575,,122.69103571772575,0.0,0.0,0.0,0.0,122.69103571772575,,,,122.69103571772575,122.69103571772575,0.0,122.69103571772575,0.0,122.69103571772575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.69103571772575,122.69103571772575,122.69103571772575,0.0,0.0,0.0,0.0,0.0,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,293599.83563987835,54.41142319608845,293599.83563987835,0.0,83660.5503579003,2628.319244354547,83815.64044840244,0.0,27080.30991556609,10176.22887190539,31099.213326853933,145234.17705236428,193658.86227448442,515.5714457943104,200120.36248387292,24522.09880780131,183.95452410694915,0.0,253960.65659691588,263354.41113822226,60796.50183123558,32937.45391417019,5578.000152802066,0.0,0.0,245865.14280349904,82490.31854579423,11348.597752688685,37.21048905560747,0.0,0.0,0.0,0.0,847585.5118055487,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,46201.78306143998,1882.8892204026924,46201.78306143998,0.0,3.290398020297289,0.0,1886.1796184229897,0.0,3282.1562319583336,712.3877559684254,3922.383077403445,33887.47068326182,37966.54040659015,0.6043210178613663,39748.196874903726,481.9358704934207,924.7994416648121,0.0,32129.512179090267,44927.54260008053,3078.2719492704077,2022.588462395261,1688.8847385539655,875.8914423904693,0.0,41668.48917604259,4165.045244271271,1106.6812622963068,23.27920027822256,0.0,0.0,0.0,0.0,132434.98923303402,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
