ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
PAK_V1,PAK,47,1725.037646573604,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat,5,Multiple
VEN_V1,VEN,117,1660.017529944378,River Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
RUS_V1,RUS,121,1623.3128843382626,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
THA_V1,THA,188,1613.1728858391884,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
CMR_V1,CMR,248,1611.825334277004,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
KAZ_V1,KAZ,233,1609.9394631123578,River Flood + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
ETH_V1,ETH,248,1606.5406883775677,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
BGD_V1,BGD,55,1600.9328866247088,River Flood + Coastal Flood + Tropical Storm + Heatwave + Extreme Heat,5,Multiple
TKM_V1,TKM,241,1586.5720940320462,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
YEM_V1,YEM,242,1584.2189547390767,Coastal Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MOZ_V1,MOZ,121,1546.3313600908236,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
GBR_V1,GBR,93,1520.3737826407887,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
LKA_V1,LKA,61,1519.827237600839,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
MDG_V1,MDG,118,1476.8276632735506,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
MAR_V1,MAR,173,1476.044619139284,River Flood + Tropical Storm + Drought + Extreme Heat + Sand and Dust Storm,5,Multiple
ERI_V1,ERI,185,1469.1206834592674,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
PRT_V1,PRT,61,1451.2402892288453,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
VNM_V1,VNM,182,1440.2682228376489,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
PRK_V1,PRK,93,1438.555200402625,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
USA_V1,USA,236,1430.6278427197383,Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MDG_V1,MDG,220,1429.1408785954118,Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
CHN_V1,CHN,185,1412.446227118765,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
EGY_V1,EGY,211,1403.785390695549,River Flood + Coastal Flood + Heatwave + Fire + Sand and Dust Storm,5,Multiple
OMN_V1,OMN,244,1402.1990492717596,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
SEN_V1,SEN,233,1392.317417528137,River Flood + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
KAZ_V1,KAZ,248,1390.771028567346,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
