system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
3130,MMR,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,10214.733109153807,"{""type"":""MultiPoint"",""coordinates"":[]}"
2787,MDG,Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,180,4,Multiple,10171.906641412526,"{""type"":""MultiPoint"",""coordinates"":[]}"
8602,PRK,River Flood + Coastal Flood + Tropical Storm + Heatwave,23,4,Multiple,9850.660676486044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1971,IND,River Flood + Tropical Storm + Drought + Fire,77,4,Multiple,9832.513257840452,"{""type"":""MultiPoint"",""coordinates"":[]}"
7000,ERI,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,9823.80070782374,"{""type"":""MultiPoint"",""coordinates"":[]}"
3813,OMN,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,9634.327594778819,"{""type"":""MultiPoint"",""coordinates"":[]}"
4711,THA,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,9593.892181306508,"{""type"":""MultiPoint"",""coordinates"":[]}"
3129,MMR,River Flood + Drought + Heatwave + Fire,89,4,Multiple,9558.447487096691,"{""type"":""MultiPoint"",""coordinates"":[]}"
6158,TWN,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,9524.83104613237,"{""type"":""MultiPoint"",""coordinates"":[]}"
8145,LBR,River Flood + Drought + Heatwave + Fire,89,4,Multiple,9523.804618081818,"{""type"":""MultiPoint"",""coordinates"":[]}"
