iso3,health,nutrition,wash,education,protection,poverty,survival
ETH,4.792694120565617,7.139148066334773,8.903576648100204,7.77443048958074,6.606557377049179,9.775,4.568482029016624
FIN,0.46896551724137936,0.14285714285714285,0.03079233718607366,0.18748705010665057,0.01639344262295082,0.0,0.08766895037331099
GTM,2.426103944430663,5.111338234809271,2.231985039228933,6.20507620998706,4.836065573770491,9.72,2.021851719893589
GNB,5.606093056589211,6.953727209785368,7.40759706582572,6.646681103885497,5.888608659100461,,6.885975967288749
GIN,5.479024366713526,6.901420988427681,6.597585660249176,8.241736566220334,6.78583438419504,7.7197626383605185,9.495937736739625
GUY,0.22681854516386935,2.100639609640302,1.1235237148911381,1.302220460064794,3.339848675914249,,2.4658765622935905
HTI,6.40166005126933,4.557614321980813,6.703610006133911,4.152342363335199,2.442622950819672,7.710270828576597,5.446889838111725
HND,2.5235535709363544,2.4272361610233757,1.2013948182712426,6.02178059998072,6.350987810004203,8.129999999999999,1.4285468276302034
HUN,0.0,,0.11302548404289325,0.6479674891421664,,0.0,0.2407904575519738
ISL,0.22988505747126453,,0.06815969658416421,,,2.5299999999999994,0.11620243986251616
IRN,0.0,0.7755102040816326,0.6991866647327356,4.056452700966274,,1.3099999999999987,1.0493995177918514
IRQ,0.4919498883651703,1.9153011770136166,0.2285649213142739,4.783133632301359,2.7356031946195873,5.2777123741570175,2.1494165166973356
IRL,0.6781609195402302,0.24489795918367352,0.7986703781157685,0.0,,0.0,0.24088401982394508
ISR,0.0,,0.004457872028517329,1.199917441920221,0.13114754098360656,0.0,0.19843837064959546
ITA,0.4965517241379314,,0.012869321572900105,0.2628163789447978,,0.0,0.1345828442101843
JAM,0.0,1.2482443704460784,1.9849340034845013,,2.5382513661202184,6.49,1.8159120487765317
JPN,0.0,0.8571428571428572,0.06666084765892677,0.06263446807861262,,1.459999999999999,0.09475267075565272
MLT,0.05747126436781613,0.5102040816326531,8.881784197001252e-16,0.7537036694978315,,3.329999999999999,0.4125290645516913
JOR,0.13620689655172402,2.178019188289209,0.2554695540963685,2.8137908129615354,0.9012189995796553,8.64,1.1953824180593564
KAZ,0.0251798561151082,1.1789258514391219,0.22307701738591015,0.26398230145700957,1.1475409836065573,4.56,0.8337508340603821
KEN,1.7464483585545363,2.936121459892519,5.456520749620679,8.0301409269634,2.0491803278688523,9.68,3.9030644213496606
KIR,0.557465751536701,4.087781477696087,4.436558062187271,2.0455575384453804,3.4953762084909616,8.50796796304795,5.449115662741008
KWT,0.0,0.7142857142857143,8.881784197001252e-16,5.061319050035978,,9.3,0.7427667103304816
KGZ,0.9686781609195403,1.642379084105371,0.41207502079591407,0.08589362958351214,3.1387137452711222,4.825361004331182,1.5778092768810172
LAO,4.018940709501364,4.653341465827042,1.8967738785425627,6.177020423697894,5.333333333333334,6.588416337769739,3.8116857379088778
LVA,0.05747126436781613,0.14285714285714285,0.5118140133649982,0.5724106838828631,,0.0,0.15568090299907467
LBN,3.616091954022989,3.271059312254789,0.6198827310368955,,0.9836065573770492,6.42,1.7129108842570993
LSO,2.8694396207172197,5.900728627476839,5.821896407841469,6.161136041237118,2.7522068095838588,3.2799999999999994,5.833855837193503
LBR,3.452147247719066,5.978882990999308,7.281355370989132,,5.476881042454813,9.42,7.248961160098246
LBY,2.334099616858238,1.673469387755102,0.769709223149419,,,4.47,2.978044700044385
MHL,0.7471264367816088,5.237051201740794,1.9507647828316772,,,10.0,2.713517448327043
MRT,3.166641858926652,5.080528172496786,4.772710351419612,6.526919940595272,4.666666666666666,9.148418087450995,3.690241505524045
MUS,0.3540229885057471,1.3877551020408163,0.15219579000882533,,,8.92,1.3942507109077542
PRY,1.6981642272388984,0.5799017506841185,0.8608388364584387,3.761679718236911,3.937158469945355,4.575049029691063,1.5814439087762036
PER,1.8940075525786264,1.0684448254261318,1.5231366743455186,4.3623625102796,3.304539722572509,8.56,1.4584224224100224
LTU,0.917241379310345,0.12244897959183676,0.20734847745716234,0.02902362221165683,0.03278688524590164,0.0,0.19792873376066705
LUX,0.0,,0.13379992450264666,,,0.0,0.09196751058430122
MDG,6.834513768295709,5.633774026573473,8.116937770711502,8.02029336443161,7.757250945775535,8.800387671605549,6.425995952690614
MYS,0.537459687422476,4.755102040816327,0.38194201404740724,4.107961554276315,,9.84,0.6747258990312277
MDV,0.028776978417266008,1.7023507302759553,0.16809979201464506,0.5139515344827587,0.36065573770491804,5.030142871237274,0.4338360246937562
MLI,3.4099589294081976,5.552866704032178,5.520899066337846,8.97005751944674,7.183690626313577,7.03949326413508,9.117531523433618
MEX,1.6660258000496155,1.8405097095380962,0.32651510704416076,2.279987371140185,2.132828919714165,4.780219907793919,1.118970079870033
FSM,1.9421455938697318,,1.3190114535550137,,,9.32,2.1968527382576126
MDA,1.4229885057471259,0.653061224489796,1.31777679699122,,,7.71,1.343706113613843
MNG,0.13620689655172402,1.3090402558438563,2.149268997202093,0.5862069137931034,2.0357292980243797,1.7462821040947762,1.2383300249135056
MAR,0.3595881915157526,2.591836734693877,1.2871295964569098,5.974687676680715,2.245901639344262,8.42,1.5365360605737362
MOZ,4.350941315912788,6.0725000824239235,6.936308804781288,,7.934426229508196,9.99,6.109706230061357
NAM,4.268199233716476,3.1428571428571423,4.90138202794433,,,6.129999999999999,3.9792134431423554
NRU,0.0,2.4191421318123374,1.4980872629849749,,1.5046237915090372,3.3999999999999995,0.7621216716279138
NPL,0.98980608616555,3.0922158847383865,1.952129283353935,1.8120285132446665,5.721311475409835,5.668366777245942,2.5401870974514487
NLD,0.8689655172413803,0.12244897959183676,0.13070456343279435,0.15698673850611577,,0.0,0.25646452939658815
NZL,0.7839080459770121,,8.881784197001252e-16,0.8275105325799156,,2.009999999999999,0.3301867408701167
NER,4.971697814162463,7.346724473311134,8.249461123457715,9.203875893040705,10.0,9.58,10.0
NOR,0.05747126436781613,,0.10893019217083655,0.13621877369127683,0.0,0.0,0.09394270979327166
OMN,0.0,2.428571428571429,0.4953969545321086,3.9593433580900417,,9.87,0.9105505421687641
PAK,1.679933294743515,6.331377138900795,2.056789181620261,6.088167349870176,3.0,8.26340390399194,5.786157816557042
PAN,1.663535378593677,2.6530612244897958,0.978793967007924,7.948695935701062,0.33333333333333326,2.329999999999999,1.2025641431587593
POL,0.22988505747126453,0.0,0.8259259143443956,0.2684923975091231,,0.0,0.2965254235443609
PRT,0.0,0.44897959183673475,0.07438949317039967,0.5239706039428705,,0.8499999999999996,0.175987566192147
QAT,0.11494252873563227,1.2648115789126637,0.002931082680810585,1.9009341189735784,0.2786885245901639,9.87,0.46527207298578493
KOR,0.05747126436781613,0.163265306122449,0.01509591182228931,0.024219011005602087,,6.470000000000001,0.13507212240546884
ROU,2.3586206896551727,1.2244897959183674,0.5275769110587003,1.5517241379310347,1.1311475409836065,0.0,0.5280472370185993
KNA,0.12413793103448256,,0.3893862572282796,,,9.47,1.5063622868609094
