iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
GAB,3.2760362401251326,1.8413086558349352,1.0,4.90099709897657,3.492473056238286,1.0,2.3441110780697247,1.7336087509043174,8.250055540677032,2.844820244328598
GMB,2.5516607719592233,1.3018875192951809,1.0,2.0248425720535055,3.557926528304592,6.72331802424137,5.401277609470014,2.084815495832269,8.213227901750077,2.8927477515654454
ALA,1.0,1.0,1.0,1.0,2.6283377829610384,1.0,1.0,1.0,5.6573480531280556,1.0
SLV,2.2173515923493623,1.976018640091411,5.931764551445044,1.7094921944682089,4.190731455307984,4.517078810811521,3.3341144573940156,1.0,8.559264756835066,1.0
GNB,2.080406124545583,1.6396584900627444,1.0,1.823148607707718,3.4586474687751285,7.71351925870331,6.18630503888759,1.7153238514328606,7.317577140184331,2.8616247656439753
IMN,1.0,1.7895051382274103,6.516322316256833,3.4881853806516827,2.992726786196115,1.0,1.0,1.0,4.547284775242314,1.0
NAM,5.0224160044781,1.400123032243507,1.0,3.3461057613478076,5.463403475590487,7.505714787408789,4.393406028352102,5.656559253934104,8.468270462095344,2.6505882482170424
KEN,2.641389686735701,1.6495967618429141,1.0,3.6638142116840977,4.385382090516524,3.8592840744973254,3.7320839321578547,4.577375221245756,9.324257732778648,4.17824222850181
KWT,3.3151774182701192,2.129535265595326,1.0,3.967522089225963,4.926977169848731,7.7045716990297946,3.118180103734665,5.732595072116371,6.033023226940056,1.0
KGZ,2.607042203131683,1.0,1.0,7.720870746043922,3.430240617731963,3.176381524570597,2.800037727210458,3.0232402039784008,8.701088038257812,1.0
LAO,5.2240789827524985,1.0,6.962002647908324,3.8652860841975643,4.108607991474094,6.489750871491688,9.021320538964604,2.041266638450824,8.7473201031358,6.744964547870959
LVA,4.62665232269785,1.6370554562416648,1.0,2.7339126266376637,4.971814427136405,1.0,1.8797951812191267,1.1327013120109923,7.912303997055256,1.0
LSO,1.958229933207701,1.0,1.0,2.2492565100006776,4.131561361126619,1.0,2.1775109031022493,2.3215032739560457,8.348803958210318,1.0
FLK,1.0,1.0,1.0,2.3882856789962714,1.003053436184961,1.0,1.0125062737104584,1.0,2.3053398336962254,1.0
FRO,1.0,1.0,1.0,1.3594131604933404,1.4121155101414837,1.0,,1.0,3.9248797707710454,1.0
FIN,3.301598851188042,1.8764547556857551,1.0,2.6651335034529953,5.738044251532619,1.0,1.4298665834001696,1.5437710754299108,7.934951304913749,1.0
GIN,2.5525174343900985,2.2677693124162324,1.0,4.212293567735301,3.869855734216357,7.220369147878438,9.045984013469843,2.28292510996157,9.06918564833997,3.0079671300852744
GUY,7.6819580724216285,5.112055669134268,2.996562651798719,5.476200633037277,3.8034918838904668,2.47661151029029,2.008706201262982,1.0,6.925625344271028,7.855645401511
ALB,3.6986954758453323,5.09635194694987,1.0,1.8683664101612798,4.869893904908497,1.0,2.7315787280120096,1.5551056363367033,8.127157092240422,1.0
MRT,4.207649102901405,2.1480717273293775,2.7815863539587466,3.1850938164689313,3.4396521143634358,8.147588500554338,2.955616475717233,9.231613632145855,8.599707466884237,2.8375870803237326
HND,3.310001291792409,1.9784502124798293,8.886150968371817,1.7617667088122264,4.9931729170558405,3.9177934009517004,4.003621134180062,1.0,8.842701299201462,3.478379517640822
IRL,2.444240330124609,2.1444621499834033,8.42722619578984,6.031224396435952,1.451146533042703,1.0,2.0975353060792887,1.0,8.002751330703573,1.0
ESP,2.9950035403590793,1.9610414967803036,7.521538358803712,3.4287468290677254,5.931850000792026,5.486335799179284,3.966604508218818,3.687843383469665,8.41494521764983,1.0
AFG,4.19466208085255,1.0,1.0,4.773494447652064,4.830700938666173,6.342134365865523,2.528805118320339,9.78276385976101,9.484567479536794,9.217161158308484
LUX,1.99930990533651,1.0,1.0,3.137251154627085,2.740780183956317,1.0,2.216244965334338,1.0,7.521958658616903,1.0
DEU,3.552959585325335,3.0429705761067383,1.0,6.038893459147543,6.1416384369537855,1.0,2.498134513666082,1.5530510020241806,9.325933012400649,1.0
NCL,1.0,2.804541250374023,7.27858385507414,1.5238767378594387,3.151700123087639,1.0,2.521269420029815,1.0,6.169425657037282,1.0
