ISO3,P1,P2,Quadrant
EST,2.0597029944525582,0.4456335752279353,"Low P1, Low P2"
ETH,5.62960110085756,7.079984104378163,"High P1, High P2"
FIN,2.353523726831666,0.1334520629125011,"Low P1, Low P2"
FRA,4.726184919254312,0.1733559517537025,"High P1, Low P2"
GAB,3.097369998103052,3.86431594147932,"Low P1, High P2"
GBR,4.260315107514473,0.2362437882799676,"Low P1, Low P2"
GEO,2.9395017288874152,1.6615007190121938,"Low P1, Low P2"
GHA,5.314952228594534,3.842080243364824,"High P1, High P2"
GIN,5.274358695005169,7.317328905843701,"High P1, High P2"
GMB,4.256145600043388,4.402086479960475,"Low P1, High P2"
GNB,3.983277611944964,6.564780510412501,"Low P1, High P2"
GNQ,3.048455969329152,6.072073831718711,"Low P1, High P2"
GRC,3.2639616042131845,1.1553530177727842,"Low P1, Low P2"
GTM,5.072551278605455,4.650345817445715,"High P1, High P2"
GUY,5.364689851539379,1.7598212613279909,"High P1, Low P2"
HND,5.388626808795843,4.011928541120871,"High P1, High P2"
HRV,2.521436591866289,1.2858345072387038,"Low P1, Low P2"
HTI,4.037164666424361,5.345001480032464,"Low P1, High P2"
HUN,2.330485555586751,0.2003566861474067,"Low P1, Low P2"
IDN,6.686951769486459,2.8160070862278954,"High P1, High P2"
IND,9.206532929303426,3.4559139473505462,"High P1, High P2"
IRL,2.8835194806740443,0.3271022127772695,"Low P1, Low P2"
IRN,7.197222496218506,1.3150915145954152,"High P1, Low P2"
IRQ,6.286128740684452,2.511668814924051,"High P1, High P2"
ISL,1.5154249186841469,0.736061798479486,"Low P1, Low P2"
ISR,3.232101103708219,0.2556602042636567,"Low P1, Low P2"
ITA,3.745327490783284,0.1813640537731627,"Low P1, Low P2"
JAM,2.423191964091316,2.3462236314712217,"Low P1, Low P2"
JOR,4.015528910759323,2.302869695648264,"Low P1, Low P2"
JPN,6.080026907582532,0.4235318072726747,"High P1, Low P2"
KAZ,4.443796692515972,1.1760652634377269,"High P1, Low P2"
KEN,4.995784868438608,4.828782320607092,"High P1, High P2"
KGZ,3.333775811173025,1.807272845983951,"Low P1, Low P2"
KHM,8.937788884057872,4.289178688413687,"High P1, High P2"
KOR,3.810829819658221,1.144187269287271,"Low P1, Low P2"
KWT,4.599142712111409,2.6363952457753626,"High P1, High P2"
LAO,7.687330181257312,4.639930269511545,"High P1, High P2"
LBN,2.3682764798268607,2.7705919064914704,"Low P1, High P2"
LBR,4.333256674232571,6.476371302043428,"Low P1, High P2"
