iso3,P2_DTP1_access_value_normalized,P2_Child_marriage_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Basic_hygiene_value_normalized,P2_Under_five_mortality_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Child_poverty_value_normalized,P2_Stunting_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_Child_labor_value_normalized,P2_Learning_poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_electricity_access_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_DTP3_access_value_normalized,P2_arithmetic_avg,rank_reverse
KNA,0.1999999999999993,,,0.08810572687224649,,1.4780937548746285,,,,0.5629492486988816,0.21582326575767752,,,,0.0,9.47,0.1724137931034484,2.8631524730242077,78.0
KOR,0.0,,,0.02936857562408335,,0.15560414648746249,,,0.1648719613536039,0.030191823644576843,1.7763568394002505e-15,,0.024219011005602087,,0.0,6.470000000000001,0.1724137931034484,1.1467061038084736,148.0
KWT,0.0,,,0.0,,0.693160967948415,,,0.7010172038532059,0.0,1.7763568394002505e-15,,5.061319050035978,,0.0,9.3,0.0,2.6259162036396,85.0
LAO,4.4,5.0,5.284958659365007,2.9662261380323054,3.79014623397857,2.844885658249577,3.416295841644929,6.588416337769739,5.88614340491737,1.2570615889150822,0.6431138127340361,5.666666666666667,9.970240542763158,3.2758620689655173,0.0,,5.344827586206896,4.381344669419151,47.0
LBN,2.400000000000002,0.9836065573770492,,,,1.6549533562149876,4.689096532954298,,1.8471376594102586,0.08924360130165532,1.1505218607721357,,,,0.0,6.42,8.448275862068964,2.7604419491390337,83.0
LBR,1.4000000000000021,4.081967213114754,,2.2907488986784132,10.0,8.6214034857091,6.680665142986359,,5.280884652921552,8.552304059404301,3.2917620535630974,6.871794871794871,,,7.5777777777777775,9.42,2.5862068965517233,6.7073496983931635,12.0
LBY,1.6000000000000014,0.6721311475409835,,,0.45937499999999787,0.861373833718899,,,1.6603372167571167,1.2829720314277449,0.5667806380205143,0.5384615384615384,,,3.333333333333334,4.47,2.068965517241378,1.783469372247489,119.0
LCA,0.0,,,0.0,1.319619365637605,1.6179420902347372,,,0.3625141391743947,1.8564910749551853,0.29607565983685014,,,,0.0,9.49,0.0,2.5255703192438026,93.0
LKA,0.0,1.6065573770491803,0.5318361864564203,0.07342143906020482,1.2818387699775329,0.46799412452947353,0.5856585610104748,,1.851752032570124,0.5183914557090095,1.5215116731037082,0.0,1.2427438434801577,0.0,0.0,6.39,0.1724137931034484,1.5200301277325075,130.0
LSO,2.400000000000002,2.1967213114754096,6.340667497214077,1.6446402349486036,8.24454617298075,5.944646991152621,4.865138140733143,,6.935484529599366,5.8129546884472925,3.4081883620963644,3.3076923076923075,9.884119936842104,2.2586206896551726,5.555555555555555,3.2799999999999994,2.068965517241378,4.682498273131102,38.0
LTU,1.1999999999999993,0.03278688524590164,,0.0,,0.21440309368552066,,,0.10804983523012654,0.4019794406119779,0.0127175143023468,,0.02902362221165683,,0.0,0.0,1.5517241379310356,0.18279184975901813,182.0
LUX,0.0,,,0.02936857562408335,,0.09338175866195067,,,,0.26759984900529155,1.7763568394002505e-15,,,,0.0,0.0,0.0,0.05863095676765454,191.0
