iso3,P2_DTP1_access_value_normalized,P2_Child_marriage_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Basic_hygiene_value_normalized,P2_Under_five_mortality_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Child_poverty_value_normalized,P2_Stunting_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_Child_labor_value_normalized,P2_Learning_poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_electricity_access_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_DTP3_access_value_normalized,P2_arithmetic_avg,rank_reverse
IND,0.3999999999999986,3.819672131147541,2.160967989308105,1.556534508076357,1.073763732290935,2.564336525487005,6.312995162449626,8.161747997384559,6.509941319874064,1.8539384881709857,0.6647004238670053,,5.586374784770758,1.0726946724137933,0.08888888888888857,4.81,0.6896551724137936,3.443228652729613,65.0
IRL,1.0,,,0.07342143906020482,,0.26364073121278464,,,0.2320253831358953,1.1461548553440846,0.45118590088745236,,0.0,,0.0,0.0,1.0344827586206904,0.303552090314112,172.0
IRN,0.0,,,0.14684287812040964,,1.019319845017662,,,0.7769706027678073,1.0644209250264094,0.3339524044390618,,4.056452700966274,,0.0,1.3099999999999987,0.0,1.3164400888357635,140.0
IRQ,0.1999999999999993,4.573770491803278,6.100750023223408,0.5873715124816457,0.27132777170304756,2.0844874116651666,2.128570620967026,2.915424748314035,1.7135454311580445,0.16680171399182697,0.24756527824794716,0.8974358974358974,,3.4655172413793105,0.0,7.64,1.3793103448275872,2.5103185749210355,94.0
ISL,0.0,,,0.35242290748898597,,0.1580095550272226,,,,0.13631939316832664,1.7763568394002505e-15,,,,0.0,2.5299999999999994,0.6896551724137936,0.7541721928967703,158.0
ISR,0.0,0.13114754098360656,,0.07342143906020482,,0.21066467045266815,,,,0.008915636495482104,1.0756155255364774e-07,,1.199917441920221,,0.0,0.0,0.0,0.2607571475250107,176.0
ITA,0.8000000000000007,,,0.014684287812038122,,0.14604250484158096,,,,0.012839438895063893,0.012899204250736318,,0.2628163789447978,,0.0,0.0,0.6896551724137936,0.1595626140831474,185.0
JAM,0.0,4.40983606557377,,0.17621145374449299,3.0859942505452143,1.6745611739316346,1.3022297957568467,,1.1913453960398062,0.9341060783324302,1.9347016815758593,0.6666666666666666,,,0.0,6.49,0.0,2.3297645004784675,104.0
JOR,0.1999999999999993,1.6229508196721312,1.4635665900222836,0.014684287812038122,,1.1828573718143716,2.9852127633799865,,1.3554823245006882,0.39994623122978545,0.11099287696295157,0.17948717948717946,6.236426504034736,0.7413793448275863,0.0,8.64,0.3448275862068968,2.300508892985286,106.0
JPN,0.0,,,0.02936857562408335,,0.1189214626785711,,,0.8466762220942721,0.006323977761379496,0.12699771755647404,,0.06263446807861262,,0.0,1.459999999999999,0.0,0.4270391907360671,164.0
KAZ,0.0,0.9999999999999999,0.011425310775228681,0.014684287812038122,0.10314297184434018,0.8281462003612082,1.6648441727304297,,0.6966478416575808,0.22927324474029653,0.3368148355730938,1.6666666666666665,0.7805215935958,0.0,0.0,4.56,0.0,1.1989937045263537,144.0
KEN,1.4000000000000021,2.0491803278688523,,1.5712187958883987,4.426113031440003,3.806776259603918,2.428256462854236,,3.447733036053363,6.5945482166478655,5.348901000774168,,8.0301409269634,,2.666666666666666,9.68,1.2068965517241388,4.810258359582922,36.0
KGZ,1.6000000000000014,1.508196721311475,0.10282174192564497,0.02936857562408335,0.28711172412062425,1.5720555041179445,1.2546780485047204,1.2507220086623634,2.04508610093635,0.16288077279536672,0.7862325654717512,4.769230769230769,,0.06896551724137931,0.033333333333333215,8.4,2.2413793103448265,1.808571611949396,118.0
KHM,1.6000000000000014,2.934426229508196,,0.19089574155653466,1.3376443581742468,1.736929534993185,2.0184456845658727,,4.2758088424456995,1.858951703607488,2.666449885248001,,9.158247295178864,,0.8555555555555561,9.3,2.5862068965517233,4.219891931515986,49.0
KIR,0.3999999999999986,3.01639344262295,2.4797081803390366,1.1894273127753294,3.939163668933026,5.249554935919491,5.379501385041552,7.145935926095901,2.7834062240951942,6.116142011018859,3.2543685066099304,3.9743589743589736,,1.611406896551724,0.6222222222222218,9.87,0.6896551724137936,4.077399241358895,52.0
