iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,pluvial_flood_absolute,pluvial_flood_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
ARG,7.983682844794917,4.371468241512407,8.589632201032554,9.685980462982949,4.091883950220829,1.0,8.512483576393066,8.705744108274342,8.38889549122339,7.35844408429967,7.482311957599338,2.5128057112278075,8.172106217871256,2.6812825063537318,7.828795098376423,3.9112378457801564,6.492762844688308,1.243764860143925,7.471366681990558,2.1339612807898902,8.465659761761353,6.617821185601618,8.09224211134022,3.0432429358675526,7.517101809736449,3.3711056804536654,6.69564186359584,1.0873150391814117,1.0,1.0,2.6638942909159846,1.0,2.6703323073974543,1.0
TCD,8.130044422040967,5.636473347408783,8.55588631821695,9.998074826612688,1.0,1.0,8.445777154550406,8.584635973511421,8.43248454506117,8.429604253222713,8.555968701695345,9.999224322312232,8.21922632409515,2.9931485222002907,7.974185102429601,4.983504885443926,8.569998565202987,9.603686822348537,7.436390554830904,2.176853074248356,7.997741367997529,3.9914962720929186,6.665605472659347,1.161338592380368,7.665025071132572,4.289861684452145,8.379372546058322,3.5052825000287706,1.0,1.0,8.542913173588197,9.818862524250058,4.479607367785315,1.0
AUS,7.039939921404704,2.603695661195124,7.887589269334734,7.134501285679857,5.577780027182555,1.0,7.37413938878176,3.7396228816355204,5.440915198000463,1.0546542241586574,6.651936776634116,1.8432044265706735,7.8176799730508355,3.357785254481063,6.848870025465544,2.42679838903778,5.46436922372576,1.0542277105926128,6.16869635791935,1.2726622533539442,7.936420533749304,6.280521561395589,7.506371671334286,2.934093996080229,6.383596970018594,1.7992619286994511,5.640419404331908,1.0,7.53305621667835,4.5216305119745215,1.0,1.0,1.0,1.0
LIE,2.95139144394377,3.5495198577353553,3.7567906878922033,10.0,1.0,1.0,1.0,1.0,3.323343039579788,5.582590574861943,1.0,1.0,,,,,1.0,1.0,3.828744626658684,10.0,3.212312182885468,4.5914200057908365,1.0,1.0,2.8045260803263,4.744608506570577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LTU,6.171412055812745,5.97983596014084,6.550219612100102,9.979150623414927,2.6398795696385253,1.0,3.154194011891753,1.0,4.497480767294363,1.2973463791334392,1.0,1.0,4.319056216255513,1.0763456049269708,2.1064963512026873,1.0,6.420273045723102,7.9958531913868445,6.26536610839854,5.677997020982679,6.019388609163181,4.331406933880928,4.867857428403453,1.5081823118223072,4.097377652598,1.1859370751760427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCO,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0843535357403948,1.099481169916966,1.0860634265035527,1.099481169916966,1.0,1.0,1.6851246759737926,1.726485001532426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NIC,7.015673181582169,4.81894561891111,7.5461678380545685,9.736306295749422,4.171525180722648,1.0,5.312062576254981,1.1951265927130656,4.473636357390522,1.0,6.757677762755101,3.5403503621627417,6.42910264019589,1.8215761709883909,6.050487999205856,2.072525700656165,7.563020893011162,9.463682636227537,7.613651241691121,8.471491316344789,1.0,1.0,5.715304972134119,1.26392726981851,5.0963211629603595,1.1619308915891116,1.0,1.0,7.5653432248721515,10.0,7.033411032591069,4.9268681406461585,7.016201044565589,4.822583116108277
CHE,6.8626887702977495,5.5057977233214626,7.289706085542447,9.762795242411073,1.0,1.0,6.935616646368455,6.050301442262928,6.998164676772241,6.568408618820201,1.0,1.0,3.7054624165693317,1.0,4.548421801033449,1.0,6.768028945267359,4.689090621653585,7.345061715838481,8.4327735006448,6.857129800166037,4.6886005565007345,5.603994159466843,1.3947507967228971,5.432247528598088,1.6641203924437273,1.4574545820534666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xAC,1.0,1.0,3.4264660913861897,9.887677153787598,1.0,1.0,3.149541032813273,6.7784577334697165,3.2282768961905033,7.532503793213206,1.0,1.0,1.0,1.0,1.0,1.0,3.059413346654832,5.929109885198334,2.6134816557537452,3.329324207190423,2.1695472479353186,2.1694375815715494,1.0,1.0,1.5301312382659806,1.7804693661249076,3.2114891699849957,8.769605682507681,1.0,1.0,1.0,1.0,1.0,1.0
CAF,6.840699270709344,3.224463493838955,7.731677468821525,9.999979847640068,1.0,1.0,7.66598351669232,9.127928223921254,6.997430152612136,3.8542458086034515,7.699935907288106,9.56764373828862,5.490205736897102,1.0,8.159759535758981,10.0,7.76976007372687,9.994654032635143,7.778649669312273,8.407517611786082,6.857385539650151,2.8787535615917044,5.7131833348793375,1.158030454641767,5.973560974422238,1.8060190705781443,1.0,1.0,1.0,1.0,7.731678912912814,10.0,2.7291297693948984,1.0
COG,6.234297674579837,1.842970900752663,7.694622961018105,9.696103763392875,2.5550417086980337,1.0,7.538204233747514,7.820428550753467,7.522618001208068,7.657032092337602,5.300920738922125,1.1319548368791994,5.420412315557834,1.0,6.937727984928863,4.41691276553299,7.602525871189616,8.110769853134636,7.728449273952867,8.026016472844935,1.0,1.0,6.264809172697365,1.5680869388461844,6.547596838492549,3.1986172077186765,4.639762530584353,1.0,1.0,1.0,7.715858519636759,9.987260691973948,1.0,1.0
PYF,1.0,1.0,2.561513319675206,1.0658783477406264,1.0,1.0,2.797102554083323,1.1341884522775925,1.4786588320474436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.082392212370349,2.485085984504859,4.144873932029176,2.485085984504859,1.0,1.0,1.7212803121573943,1.0,1.0,1.0,2.571222526165649,1.0425949120838478,5.206457393927097,10.0,1.0,1.0,1.0,1.0
SJM,1.0,1.0,,,1.0,1.0,1.0,7.91483616574974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GAB,6.424226446204775,4.377538757110855,7.028846127105808,9.683440950823824,3.3904175660526557,1.0,6.379438341797659,4.147087838017143,6.109540173320532,3.048748703800434,1.0,1.0,3.557841181766552,1.0,5.20094428861939,1.6317138122348889,6.548927360030545,4.910846402269458,7.0447117536236075,8.009559533727497,1.0,1.0,5.6737515282011195,1.7666899211774956,5.3887742737904105,1.991624236111145,3.005399301212028,1.0,1.0,1.0,7.003736933117818,9.351676911843988,1.0,1.0
GMB,7.150533199452907,9.638493348595855,7.136496589821247,9.452412919568934,1.69491111289656,1.0,1.0,1.0,1.0,1.0,6.869557477584122,6.580191723060713,7.190201111738312,5.995189036505174,6.066201672371697,3.2548069395794887,6.759426224965763,5.463485245919422,7.142293049136834,7.690677166559487,1.0,1.0,5.26088880070705,1.2584022831091024,4.944686337267084,1.3167615195495166,4.34645565166235,1.0,1.0,1.0,7.160902218570824,9.778551227439754,1.0,1.0
ALA,1.0,1.0,3.459019074469852,9.252792859818836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.12034166108576,5.779240283363538,3.1633221074797038,5.779240283363538,1.0,1.0,1.5595309605803607,1.6955802589030649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLV,6.658126799873077,3.74844092788341,7.408217567961676,9.889155185510589,3.9046496659887096,1.0,1.0,1.0,1.0,1.0,6.500658723940813,3.138758985752934,5.381060130754647,1.0750582352513396,6.361036706516817,3.3581050799978747,7.439854401157781,9.821136481378119,7.568434352570922,9.795052320399037,1.0,1.0,4.884259266684456,1.0,4.681062843927636,1.0503272970308917,1.0,1.0,6.910465152379654,5.09167326915231,1.0,1.0,1.0,1.0
GNB,6.570555985008676,5.588950982034379,6.826740123661402,7.843704935677167,2.6884799640348387,1.0,1.0,1.0,1.0,1.0,6.896485528374267,8.627347814998261,7.025071481352209,6.329165504809641,6.288022195724373,5.238585744179938,6.401742948793311,4.354412741538097,7.0567932951901025,8.701669135082502,1.0,1.0,4.381327658323102,1.0,4.197838906534331,1.0310280454806622,2.942335915294463,1.0,1.0,1.0,6.974870408290176,9.61423204677097,1.0,1.0
IMN,1.0,1.0,3.7940561767351975,5.450050780466799,1.751274409859498,1.8285704523023436,4.245954202917158,9.995933706859548,4.245954202917158,9.995933706859548,1.0,1.0,1.0,1.0,1.0,1.0,3.7551619039240993,5.085297558037029,4.2421595635101745,8.86891287012254,1.0,1.0,1.3630297161595548,1.0229377498483767,1.0,1.0,1.0,1.0,4.246245652934681,10.0,1.0,1.0,1.0,1.0
