iso3,health,nutrition,wash,education,protection,poverty,survival
MNG,0.13620689655172402,1.305589874675318,2.149268997202093,0.5862069137931034,2.0357292980243797,1.7462821040947762,1.2311495614884955
MOZ,4.655550492008034,6.079890689770021,6.936308804781288,,7.934426229508196,9.99,5.890067177771377
MRT,3.1705453440680538,5.083269870074213,4.7727103514196125,6.526919940595272,4.666666666666666,9.148418087450995,3.610817666494644
MUS,0.27285938528533116,1.3818414207369112,0.15219579000882533,,,8.92,1.4287425042122586
MWI,3.026442689081304,5.246975232889595,6.221711624766044,5.03315231596464,4.83879781420765,4.901588944994959,4.812941237248025
MYS,0.47285938528533134,4.75745956298211,0.38194201404740724,4.107961554276315,,9.84,0.7139038692237142
NAM,3.3369790875487366,3.143449836046829,4.90138202794433,,,6.129999999999999,3.868890831771596
NER,4.970165999966242,7.34967419962865,8.249461123457715,9.203875893040705,10.0,9.58,10.0
NGA,5.776821189258528,6.800405863571972,5.242287576000876,4.331877142713836,6.647961328289197,7.840558397420327,10.0
NLD,0.8689655172413803,0.12487392144131784,0.13070456343279435,0.15698673850611577,,0.0,0.2659105190152954
NOR,0.07614309585295498,,0.10893019217083655,0.13621877369127683,0.0,0.0,0.1243559542524271
NPL,1.0153134335915743,3.0973237759453447,1.952129283353935,1.8120285132446665,4.014501891551071,5.668366777245942,2.4162094529455787
NRU,0.0734214390602057,2.4209693935182046,1.4980872629849749,,1.5046237915090372,3.3999999999999995,0.7091202911534611
NZL,0.7237606967441392,,8.881784197001252e-16,0.8275105325799156,,2.009999999999999,0.35232430979409124
OMN,0.0036710719530095304,2.4282424138480194,0.4953969545321086,3.9593433580900417,,9.87,0.9139233822358463
PAK,1.9877698448866605,6.331550302810625,2.056789181620261,6.088167349870176,3.0,8.26340390399194,5.539750580965952
PAN,1.7674346380407446,2.6509573803427697,0.978793967007924,7.948695935701062,0.33333333333333326,2.329999999999999,1.4195850245652193
PER,1.8406687258426586,1.067486399336381,1.5231366743455186,4.3623625102796,3.1979823455233287,8.56,1.179378912253462
PHL,2.490029031005789,4.091421807109907,0.7862795260218949,3.9858662818724597,1.540983606557377,9.01,2.551747704933229
PLW,0.061458808040913304,,0.09075231357159463,,,,2.042341395265708
PNG,8.714380474960757,6.757666642853076,7.504353663590876,,4.475409836065573,8.66805772762472,3.861005583538633
POL,0.18709808091548918,0.0,0.8259259143443956,0.2684923975091231,,0.0,0.2999305505351657
PRK,1.2766886930983845,3.184509590137491,1.320137881900619,0.0,0.43127364438839844,,1.5602502057589263
PRT,0.05139500734214408,0.4345473626611458,0.07438949317039967,0.5239706039428705,,0.8499999999999996,0.19940277464394326
PRY,1.6419413641197018,0.5792822353223206,0.8608388364584387,3.761679718236911,3.937158469945355,4.575049029691063,1.5240638681389354
PSE,0.9420476986176514,1.658580366669931,0.2627746527101049,1.0316373189765602,1.9060529634300125,,3.70612738004198
QAT,0.0862068965517242,1.2683247263350914,0.002931082680810585,1.9009341189735784,0.2786885245901639,9.87,0.4684917241505048
ROU,1.8277026684895434,1.2162752616512922,0.5275769110587003,1.5517241379310347,1.1311475409836065,0.0,0.6128544115582077
RUS,0.10411666413489229,,0.6750489057801108,0.08044709657367893,1.0163934426229508,0.0,0.39633624466736883
RWA,1.5851443954968185,3.8434901629174116,5.526534986107554,6.245083914171996,1.1944094157208909,9.48,3.6942321925205683
SAU,0.10778773608790271,2.066687900950234,0.19317637538357366,3.0953240645559155,0.5573770491803278,6.98,0.47583207689922524
SDN,8.02962962962963,7.015950213772067,6.193139425455364,,4.41025641025641,9.19,6.111252767483144
SEN,1.5320104815433693,4.100869280125058,4.551431303977166,7.1957083715141925,5.270281630937369,6.190086517577361,3.572018649712355
SGP,0.061458808040913304,0.3601865350141086,8.881784197001252e-16,0.03894851082249684,0.01639344262295082,7.22,0.1438778169130869
SLB,1.9974125272165673,5.878017207936721,6.032114830912067,,3.4918032786885242,,1.8993086458183068
SLE,3.043745674886492,6.128661855032602,7.267912206264697,4.727770084940675,5.5287936107608235,7.698849167685818,9.037839990228743
SLV,0.1990607119347816,1.7159138704790373,1.28727829298738,6.955118279708053,2.371164354770912,9.95,0.8899653799898848
SOM,6.126340996168582,7.3311159841069555,6.245226920682934,,,,10.0
SRB,0.2866524887336075,0.39593016694171645,0.47249335178462104,0.21549196480239138,1.5405632618747371,6.74,0.42012270010373987
SSD,6.891242594561749,5.909623622323766,9.014850471135178,,,8.23,9.666938506176187
STP,1.7527233446419221,2.6200842180834933,4.498438239382655,2.7511895496796015,3.5130306851618327,8.28,1.2451802561555476
SUR,2.427777777777778,2.5063633213468117,1.4438610234996945,3.363221626541122,3.37389659520807,3.0969144928540446,1.471845850369748
SVK,0.2889969112360111,,0.15367730326139384,2.013139222797589,,0.0,0.5090774550378357
SVN,0.9931034482758628,,0.12726915821663276,0.4440122403596568,,0.0,0.10122059784835491
SWE,0.1816091954022987,,0.08869668565772493,0.23917524438155258,,0.0,0.11612258347079771
SWZ,1.6874056914274138,3.244312072722542,4.445639138616533,,1.771122320302648,8.41,4.441796558897746
SYC,0.17975593700946924,1.0567527063502757,0.19340598896418992,,,9.65,1.2861032908389485
SYR,2.9775223499361445,4.655687430209969,1.0043596906798478,,,,1.7402948170933499
TCA,0.005555555555555536,1.8602466714936345,0.48867029736751216,0.054700877432930284,2.563682219419924,,0.34362731136278934
TCD,6.384207217243067,5.328808390075734,8.26681845394553,9.468423980073819,9.839007986548971,9.94,9.722254888791534
TGO,2.807064492716931,4.6088675958059175,7.474394294879528,5.3960682878770045,5.3532997057587215,2.55,5.556839373733073
THA,0.3760827552449908,1.8497041493761046,0.2104670991459372,0.9803552360906902,2.7868852459016393,3.816141770085683,0.7801712611311871
TJK,0.1312091751481086,3.741054307675586,1.6467696692602576,0.47496478300341727,1.4426229508196722,6.1353844191672815,2.7209431423299346
TKM,0.011013215859030367,1.137630780498335,0.013881965633911383,0.04622860380465443,0.49999999999999994,4.463566533247806,3.8226719468588453
TLS,2.261272722669502,6.874762576785447,4.1488721057760936,2.592010445607212,2.272593526691887,5.6237913651136076,4.695355231393234
TON,0.06240822320117445,0.9961566706603986,0.9466317362494792,2.4913990923128213,4.045817570407735,10.0,0.8358863846944957
TTO,0.5586206896551724,1.7808893185768508,0.8065681995336558,1.8573244998329472,0.7673392181588903,8.19,1.7743064366843486
TUN,0.16652488733606763,1.4703836104270205,0.475771910577014,1.9795937601559879,0.4787725935266919,4.005043872020144,1.0949715545359469
TUR,0.11013215859030812,0.9153813799834207,0.35227935369675034,1.632535633287926,1.8331231609920133,6.26,0.8453932973219416
