iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
xPI,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
HKG,1.0,1.0,6.64794801524236,7.5718199484839745,5.98177638660247,8.441541745692899,6.847812089717451,9.96422462799296,1.0,1.0,1.0,1.0,4.021264418200305,1.0,1.0,1.0,5.865283148619287,2.829733525948769,6.38858514069338,4.534566674763981,1.0,1.0,4.493194654205386,1.2378626551212253,4.559836430789817,1.062522318482134,6.850380759968692,10.0,1.0,1.0,1.0,1.0
MKD,6.139916989593523,7.5394554274459855,6.3448386637034915,9.990471036937645,1.0,1.0,1.0,1.0,1.0,1.0,4.0391334269005545,1.1727331717256024,5.581234712039762,3.2486228546834988,4.331537846257329,1.5297139219563114,6.114637135647611,7.008821285048697,6.145670749805236,6.3806863310025435,4.935056717054167,1.8294877304091133,4.648604724280503,1.9697791834126708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TLS,5.103183375596364,1.7875367514580454,6.5662949552810925,9.20994368888239,3.0284492796538016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.361625066221426,1.9559056828584016,4.344562347192832,1.2461316806104286,1.0,1.0,6.771839402569515,9.993038726158238,1.0,1.0,2.390515020091646,1.0,1.0,1.0,6.607855686665301,9.756780258232935,5.189381191693034,1.9118121213796488,5.23744598512163,1.9887138406344302
AUT,6.751935578702906,4.906440354500474,7.287098265444895,9.99874256745268,1.0,1.0,5.623296648320723,1.615971670589679,6.603042499074316,4.089698290812171,1.0,1.0,3.9467265123284783,1.0,4.438283833935217,1.0,5.504597854019284,1.4755269063943242,6.889171257643397,4.830075770949559,5.730585652086884,1.6254786901023817,5.952574622300299,2.7140960695075935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,4.789517376458939,1.0564701457460615,7.438701683920971,9.510293447635222,6.4647006660968165,6.083765139665269,4.8433257469956,1.0691603948803745,1.0,1.0,7.406518953411384,9.095699384492036,5.90100882102896,1.363142392504179,5.098895331548351,1.117464237261142,7.166748710269342,6.278152790365818,7.565747269481189,8.99847741891694,4.059414146043707,1.0,6.144999305827692,2.711885506416253,8.378030382058897,10.0,1.0,1.0,1.0,1.0,1.0,1.0
GBR,7.534670481536148,2.3560623461787586,8.705144277212115,9.634299576431127,7.2025330653171915,2.3160207854706427,8.572752334771106,8.029657087951318,8.426032704423605,6.593710929402832,1.0,1.0,7.593746425741776,1.4960710406240594,6.208175515280062,1.0,5.113428755957979,1.0,6.791912912642202,1.2781280958021521,7.3892186516123655,1.851357751772626,6.631487445886556,1.384588193808153,3.5629535722204184,1.0,8.431888916047793,6.645043872559543,1.0,1.0,1.0,1.0
USA,8.967030197191608,3.4619457762115715,9.779318785854796,9.79193114554928,7.933371364915833,1.1778286001366525,9.309095334344462,5.224972789125765,9.193902766690854,4.525474625008204,8.96129520983435,3.439570275643066,9.543344380239255,2.482611956817719,7.861418991071596,1.2392508590086746,8.923715586990893,3.1382229326744615,9.1857600971706,3.5034707206648363,9.488691313296242,5.231151071045577,8.046035189466687,1.7321319695744064,8.220255192747489,1.1424439708112237,9.308670786151973,5.222161021232212,1.0,1.0,1.0,1.0
URY,6.111973227193111,4.002754511640789,6.720326877871301,8.780313395622608,2.691030956164335,1.0,6.7427090499135645,9.055451621515493,6.748173699921917,9.124075181060439,3.410983460129393,1.0,6.228252644545187,3.4813738206693094,6.236002933792018,6.3516111850414045,1.0,1.0,1.0,1.0,6.484724083745425,5.508569688757632,5.125987265996974,1.96068032795927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VEN,7.4154547501886885,2.854954265344145,8.382901960672926,9.500752183548494,5.534829400527292,1.0,7.531203642388256,3.23331644183551,7.056729267355511,2.031011239013078,7.773654937436449,4.281284234929967,7.094980122714495,1.3890103279057002,7.968457709964601,5.945556366388152,8.394710444047139,9.111460587397092,8.506819851608741,8.660665063660135,4.622691843767603,1.0,6.658295502120856,1.7713850003780718,6.120962930326021,1.0,8.204302862342262,7.440563085322366,8.251444017407414,7.93073023706928,8.251445106164155,7.931590716942586
